,travel time,real travel time,euc_dist,distance,hour of day,O lat,O lon,D lat,D lon
9676,220,226.00000002,0.03941416350755045,3126.245,21,49.220741,18.753619,49.224378,18.792865
9677,215,241.99999997999998,0.010882870577195915,3426.0640000000003,1,49.220827,18.753726,49.211053,18.758512
9678,374,391.99999998,0.09950827234959031,8477.517000000002,7,49.220569,18.753576,49.215344,18.852947
9679,793,820.0000001999999,0.1205248949553593,10497.403999999997,14,49.220773,18.753684,49.203221,18.872924
9680,1182,1207.9999997999998,0.12566713820645295,15826.737999999998,17,49.220827,18.753748,49.182267,18.634143
9681,1455,1471.0000002,0.28458222643025227,24110.78,22,49.220869,18.753834,49.254601,19.03641
9682,459,469.99999998,0.04567799242523908,6007.255999999999,3,49.22073,18.753705,49.181806,18.729801
9683,338,361.0000000200001,0.011307582632905686,1915.145,20,49.220848,18.753662,49.214593,18.763082
9684,252,300.0,0.02053885549391615,2779.8329999999996,3,49.220869,18.753684,49.210098,18.736196
9685,878,904.9999998000001,0.071775277672747,9814.583,4,49.220805,18.753662,49.149662,18.763168
9686,369,384.0,0.02149890053002524,2953.61,10,49.220741,18.753383,49.203381,18.766065
9687,342,343.9999999799999,0.018604829749289127,1749.7049999999997,11,49.220869,18.753791,49.231298,18.738384
9688,1038,1065.0,0.16573173293308255,14553.93,12,49.220805,18.753641,49.214454,18.919251000000006
9689,793,862.0000002,0.11876750323636254,9906.047000000002,14,49.220869,18.753855,49.204025,18.871422
9690,516,523.00000002,0.11991765178655167,10539.055,18,49.220784,18.753641,49.205667,18.872602
9691,215,241.99999997999998,0.008651484785862161,1169.363,22,49.220816,18.753748,49.223766,18.745615
9692,516,529.99999998,0.05032103732038968,4687.153,6,49.220837,18.753684,49.224163,18.803895
9693,454,472.00000001999996,0.03786548772959166,5390.02,8,49.220751,18.753662,49.210516,18.717206
9694,289,313.00000002,0.00751067573524528,770.759,13,49.22073,18.753834,49.224839,18.747547
9695,310,337.00000002,0.006499246263991284,1861.2120000000002,16,49.220827,18.753748,49.217758,18.748019
9696,203,229.99999998,0.003797326691240031,1166.719,3,49.220784,18.753748,49.222211,18.750229
9697,345,352.00000002,0.027538286075935035,5257.223000000001,7,49.220548,18.753555,49.196472,18.740187
9698,627,655.0000001999999,0.07989620853332091,8109.628000000001,11,49.220816,18.753791,49.219603,18.833678
9699,755,760.0000001999999,0.042351862225877814,6873.92,16,49.220827,18.753791,49.182492,18.735788
9700,372,400.00000002,0.019288706669963764,3299.1600000000003,23,49.220773,18.753726,49.207866,18.76806
9701,482,510.0,0.02659791525663826,3827.34,4,49.220848,18.753812,49.20033400000001,18.736882
9702,506,514.99999998,0.020682118363456736,2340.931,7,49.220709,18.753619,49.206675,18.768811
9703,441,466.99999998,0.05863192599599659,7659.4349999999995,14,49.22088,18.753791,49.173105,18.719802
9704,613,640.0000001999999,0.02120601749503931,4292.193,10,49.220762,18.753726,49.203349,18.765829
9705,313,318.0,0.02392925510750646,3910.0130000000004,11,49.220709,18.75349,49.241598,18.741817
9706,1173,1200.0,0.3301271035283223,26601.769999999997,15,49.220794,18.753726,49.262122,19.081256
9707,147,160.99999998,0.01646536136864267,1814.0069999999998,17,49.220709,18.753598,49.219743,18.737161
9708,408,427.99999998000004,0.04560133280947187,3464.6130000000003,21,49.220816,18.753662,49.225043,18.799067
9709,1162,1177.0000002000002,0.12441056312468313,15910.468000000004,0,49.220773,18.753598,49.158674,18.645794
9710,1340,1345.9999998,0.1720218636481998,20717.492,8,49.220719,18.753426,49.092606,18.638628
9711,977,1003.9999998000001,0.06687768480591776,8480.573000000002,13,49.220859,18.753748,49.160852,18.783274
9712,347,373.9999999799999,0.02046120196860072,2396.3669999999997,12,49.220859,18.753619,49.203778,18.764884
9713,292,319.00000002,0.009603193895780819,1130.394,15,49.220773,18.753791,49.22662,18.746173
9714,552,579.0,0.04166923576212955,5675.148,18,49.22088,18.753726,49.18408,18.734179
9715,162,189.0,0.005924118837429382,1362.605,9,49.220794,18.753641,49.225322,18.749821
9716,165,192.0,0.00515154588449257,485.04,11,49.220848,18.753748,49.221524,18.748641
9717,241,253.00000002000002,0.018610434304444503,2817.105,22,49.220741,18.753383,49.227393,18.736002
9718,441,468.0,0.032040412996715915,4747.07,10,49.220794,18.753834,49.21840200000001,18.721883
9719,926,952.9999998,0.1892446421143806,16322.258,12,49.220751,18.753684,49.239516,18.941996
9720,241,256.99999998,0.014532586349304497,2792.08,0,49.22073,18.753619,49.210205,18.76364
9721,335,424.00000002,0.01442537465717852,1592.1970000000001,6,49.220751,18.753684,49.214926,18.740487
9722,186,211.99999998,0.002930745468302142,780.538,10,49.220805,18.753748,49.219292,18.756258
9723,1319,1344.0,0.17643909013593492,21480.819,11,49.220805,18.753576,49.09005300000001,18.635108
9724,464,484.00000002,0.041282715438792944,5695.903,14,49.220612,18.753533,49.182117,18.768446
