EdgeID,Highway
66886,residential
66887,residential
66888,residential
66889,service
66890,residential
66891,residential
66892,service
66893,service
66894,service
66895,service
66898,service
66899,residential
66900,residential
66901,residential
66902,residential
66903,residential
66904,residential
66905,residential
66906,residential
66907,residential
66908,residential
66909,residential
66910,residential
66911,residential
66912,residential
66913,residential
66914,residential
66915,residential
66916,residential
66918,residential
66919,residential
66920,residential
66921,residential
66922,residential
66923,residential
66924,residential
66925,residential
66926,residential
66927,residential
66928,residential
66929,residential
66930,residential
66933,residential
66937,residential
67398,residential
67416,residential
67520,residential
67530,tertiary
67531,tertiary
67532,tertiary
67533,tertiary
67534,tertiary
67535,tertiary
67536,tertiary
67537,tertiary
67538,tertiary
67539,tertiary
67540,tertiary
67541,tertiary
67542,tertiary
67543,tertiary
67561,tertiary
67562,tertiary
67563,tertiary
67565,tertiary
67566,tertiary
67571,residential
67775,primary
67805,residential
67806,residential
67808,residential
67809,residential
67810,residential
67811,residential
67812,residential
67813,residential
67814,residential
67815,residential
67816,residential
67817,residential
67856,residential
67857,residential
67858,residential
67860,service
67861,service
67862,service
67863,service
67864,service
67865,service
67869,residential
67871,residential
67872,residential
67873,residential
67874,residential
67875,residential
67876,residential
67877,residential
67878,residential
67880,residential
67881,residential
67882,residential
67883,residential
67884,residential
67885,residential
67886,residential
67887,residential
67888,residential
67889,residential
67890,residential
67892,residential
67893,residential
67894,residential
67895,residential
67896,residential
67897,residential
67898,residential
67899,residential
67900,residential
67901,residential
67902,residential
68171,tertiary
68172,tertiary
68173,tertiary
68174,residential
68175,tertiary
68176,tertiary
68177,tertiary
68351,tertiary
68352,tertiary
68353,primary
68354,primary
68355,tertiary
68356,tertiary
68357,tertiary
68358,tertiary
68359,tertiary
68360,tertiary
68361,tertiary
68362,tertiary
68363,tertiary
68364,tertiary
68365,tertiary
68366,primary
68367,primary
68368,primary
68369,primary
68370,primary
68371,tertiary
68372,tertiary
68373,tertiary
68423,primary
68424,primary
68425,primary
68426,primary
68428,primary
68429,primary
68430,primary
69253,residential
69254,residential
69257,tertiary
69259,residential
69260,residential
69262,primary
69275,residential
69276,unclassified
69277,unclassified
69281,unclassified
69282,unclassified
69283,residential
69284,residential
69285,residential
69286,residential
69287,residential
69291,residential
69292,residential
69309,primary
69311,primary
70437,unclassified
70438,unclassified
70440,residential
70441,residential
70442,service
70452,primary
70453,primary
70454,primary
70473,service
70476,residential
70477,residential
70478,residential
70481,residential
70482,residential
70521,residential
70522,primary
70523,primary
70922,residential
71454,primary
71455,primary
71456,primary
71457,primary_link
71458,primary_link
71459,primary
71460,primary
71461,primary
71462,primary
71463,primary
71464,primary
71465,primary_link
71930,unclassified
71931,unclassified
71932,unclassified
71933,primary_link
71934,primary
71935,primary
71936,primary
71937,primary
71938,primary
71939,primary
71940,primary
71941,primary
71942,primary
71946,residential
71947,residential
71948,residential
71949,residential
71950,residential
71951,residential
71952,residential
71953,residential
71954,residential
71955,residential
71956,residential
71957,residential
71958,residential
71959,residential
71960,residential
71961,residential
71962,residential
71963,residential
71964,residential
71965,residential
71966,residential
71967,residential
71968,residential
71969,residential
71970,residential
71971,residential
71972,primary
71973,primary
71974,primary
71975,primary
71976,primary
71977,primary
71978,primary
71979,primary
71980,primary
71981,primary
71982,primary
71983,primary
71984,primary
71985,primary
71986,primary
71987,primary
71988,primary
72194,residential
72196,residential
72205,tertiary
72206,tertiary
72207,tertiary
72208,tertiary
72209,tertiary
72210,tertiary
72211,primary
72212,primary
72213,tertiary
72214,tertiary
72215,tertiary
72216,primary
72217,primary
72218,residential
72219,residential
72220,residential
72226,motorway_link
72960,primary
72961,primary
72962,primary
72963,primary
72966,primary
72967,primary
73271,tertiary
73272,tertiary
73273,tertiary
73274,tertiary
73275,tertiary
73276,tertiary
73277,tertiary
73278,tertiary
73279,tertiary
73559,tertiary
73560,tertiary
73561,tertiary
73562,tertiary
73563,tertiary
73564,tertiary
73565,tertiary
73566,residential
73567,tertiary
73568,tertiary
73569,tertiary
73571,residential
73572,residential
73573,residential
73574,residential
73575,residential
73576,residential
73577,residential
73578,residential
73579,residential
73581,residential
73582,residential
73583,residential
73585,residential
73587,residential
73588,tertiary
73589,tertiary
73590,tertiary
73591,tertiary
73592,tertiary
73593,tertiary
73594,tertiary
73595,tertiary
73596,tertiary
73597,tertiary
73800,track
73806,tertiary
73807,tertiary
73808,tertiary
73809,tertiary
73810,tertiary
73811,tertiary
73812,tertiary
73813,tertiary
73819,tertiary
73820,residential
73821,residential
73822,residential
73823,tertiary
73824,tertiary
73825,tertiary
73826,tertiary
73827,tertiary
73828,tertiary
74328,primary
74329,primary
74330,primary
74331,primary
74332,primary
74333,primary
74336,residential
74675,motorway
74676,motorway
74677,motorway
74678,primary
74679,primary
74680,primary
74681,primary
74682,primary
75627,service
75628,service
75629,service
75630,service
75631,service
75634,service
75637,tertiary
75638,tertiary
75639,tertiary
75981,tertiary
75982,tertiary
75983,tertiary
75984,tertiary
75985,residential
75986,residential
75987,residential
75989,primary
76277,service
76376,residential
76378,residential
76381,residential
76382,residential
76390,residential
76391,residential
76510,residential
