EdgeID,Length(m)(poly),Hour_of_Day,time_poly(s)
1390,20.053,14.0,10.5
1390,20.053,15.0,12.5
1390,20.053,16.0,12.5
1390,20.053,17.0,12.2
1390,20.053,18.0,11.0
1390,20.053,19.0,21.0
1390,20.053,20.0,16.333333333333332
1390,20.053,21.0,17.0
1390,20.053,22.0,13.0
1390,20.053,23.0,12.0
1391,76.437,0.0,
1391,76.437,1.0,16.8
1391,76.437,2.0,
1391,76.437,3.0,19.0
1391,76.437,4.0,14.0
1391,76.437,5.0,
1391,76.437,6.0,11.0
1391,76.437,7.0,12.0
1391,76.437,8.0,12.0
1391,76.437,9.0,12.0
1391,76.437,10.0,17.0
1391,76.437,11.0,13.0
1391,76.437,12.0,14.5
1391,76.437,13.0,
1391,76.437,14.0,10.5
1391,76.437,15.0,10.75
1391,76.437,16.0,11.0
1391,76.437,17.0,18.0
1391,76.437,18.0,12.75
1391,76.437,19.0,11.666666666666666
1391,76.437,20.0,15.4
1391,76.437,21.0,12.0
1391,76.437,22.0,15.75
1391,76.437,23.0,10.6
1392,12.946,0.0,
1392,12.946,1.0,
1392,12.946,2.0,
1392,12.946,3.0,
1392,12.946,4.0,
1392,12.946,5.0,10.0
1392,12.946,6.0,
